Client Name,Total Assistance,Total Investment,Investment Gain,Investment Grade,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector,Business Plan Grade,Average Grade,Jobs Created
14th Avenue Dungannon,3680,4600,920.0,0.19999999999999996,Covid Support,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,False,False,False
20/20 Architects,17550,169500,151950.0,0.8964601769911504,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",True,True,True
20/20 Architects,3666,7332,3666.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
20/20 Architects,10000,10000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
2000 Weeks,19400,227000,207600.0,0.9145374449339208,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",True,True,True
2000 Weeks,1250,2500,1250.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
2000 Weeks,608,1215,607.0,0.4995884773662551,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
2000 Weeks,1993,3986,1993.0,0.5,Developing Skills,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
23B Solutions,42000,596174,554174.0,0.9295507687353021,Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING,True,True,True
23B Solutions,17335,56514,39179.0,0.6932618466220759,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING,False,True,False
23B Solutions,900,1800,900.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING,False,False,False
