Client Name,Total Assistance,Total Investment,Investment Gain,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector
14th Avenue Dungannon,3680,4600,920.0,Covid Support,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
20/20 Architects,17550,169500,151950.0,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
20/20 Architects,3666,7332,3666.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
20/20 Architects,10000,10000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2000 Weeks,19400,227000,207600.0,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2000 Weeks,1250,2500,1250.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2000 Weeks,608,1215,607.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
2000 Weeks,1993,3986,1993.0,Developing Skills,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
23B Solutions,42000,596174,554174.0,Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
23B Solutions,17335,56514,39179.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
23B Solutions,900,1800,900.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
2NGaming Limited,5350,10700,5350.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
2NGaming Limited,47880,133713,85833.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
2NGaming Limited,48488,154880,106392.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION
2NGaming Limited,48000,435000,387000.0,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION
2NGaming Limited,10000,20000,10000.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION
2NGaming Limited,9940,19880,9940.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION
3 Interior Contracts Limited,27352,181175,153823.0,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
3 Interior Contracts Limited,9493,35199,25706.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
3 Interior Contracts Limited,6300,12600,6300.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
3173 Limited,162000,971000,809000.0,Creating Jobs / Capital Investment / Business Development,27,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES
3173 Limited,4926,9852,4926.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES
3173 Limited,140304,450981,310677.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES
3173 Limited,7313,14626,7313.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES
360 Energy,13000,115000,102000.0,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,UPPER BANN,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
